match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,NA,Memphis Grizzlies,31.5,1.65,Betr,San Antonio Spurs,2.15
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,NA,Memphis Grizzlies,32.5,1.8,Betr,San Antonio Spurs,1.95
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,NA,Memphis Grizzlies,33.5,1.95,Betr,San Antonio Spurs,1.8
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,NA,Memphis Grizzlies,34.5,2.15,Betr,San Antonio Spurs,1.65
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,NA,Memphis Grizzlies,32.5,1.54,Betr,San Antonio Spurs,2.35
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,NA,Memphis Grizzlies,25.5,2.15,Betr,San Antonio Spurs,1.65
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,NA,Memphis Grizzlies,26.5,2.45,Betr,San Antonio Spurs,1.51
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,NA,Memphis Grizzlies,27.5,2.8,Betr,San Antonio Spurs,1.42
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,NA,San Antonio Spurs,19.5,1.8,Betr,Memphis Grizzlies,1.95
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,NA,San Antonio Spurs,20.5,2,Betr,Memphis Grizzlies,1.74
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,NA,San Antonio Spurs,21.5,2.3,Betr,Memphis Grizzlies,1.56
