match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Nickeil Alexander-Walker,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,2.3,1.55,TAB,575530,575503
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Naz Reid,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.8,1.95,TAB,570058,572066
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Rudy Gobert,Minnesota Timberwolves,Houston Rockets,Player Blocks,1.5,1.55,NA,TAB,571992,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Rudy Gobert,Minnesota Timberwolves,Houston Rockets,Player Blocks,2.5,2.5,1.45,TAB,571993,569995
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Tari Eason,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,1.72,2.05,TAB,575710,575770
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Drew Eubanks,Utah Jazz,San Antonio Spurs,Player Blocks,0.5,2.05,1.68,TAB,578956,580017
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,NA,NA,NA,Player Blocks,0.5,2.2,1.58,TAB,578456,578827
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,John Collins,Utah Jazz,San Antonio Spurs,Player Blocks,0.5,1.8,1.9,TAB,578974,578711
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Utah Jazz,Player Blocks,0.5,2.4,1.52,TAB,579368,579987
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Utah Jazz,Player Blocks,2.5,1.25,NA,TAB,579448,NA
