match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,LeBron James,Los Angeles Lakers,34.5,1.42,BetRight,55328650,Lebron James 35+,3,300162641,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,LeBron James,Los Angeles Lakers,39.5,2.2,BetRight,55328650,Lebron James 40+,4,300162644,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,LeBron James,Los Angeles Lakers,44.5,4,BetRight,55328650,Lebron James 45+,5,300162642,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,LeBron James,Los Angeles Lakers,49.5,8.5,BetRight,55328650,Lebron James 50+,6,300192344,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Austin Reaves,Los Angeles Lakers,24.5,1.05,BetRight,55328651,Austin Reaves 25+,1,300162649,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Austin Reaves,Los Angeles Lakers,29.5,1.22,BetRight,55328651,Austin Reaves 30+,2,300162647,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Austin Reaves,Los Angeles Lakers,34.5,1.73,BetRight,55328651,Austin Reaves 35+,3,300162650,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Austin Reaves,Los Angeles Lakers,39.5,2.9,BetRight,55328651,Austin Reaves 40+,4,300162648,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Austin Reaves,Los Angeles Lakers,44.5,5.75,BetRight,55328651,Austin Reaves 45+,5,300162646,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Marcus Smart,Los Angeles Lakers,13.5,1.22,BetRight,55328652,Marcus Smart 14+,1,300162653,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Marcus Smart,Los Angeles Lakers,15.5,1.42,BetRight,55328652,Marcus Smart 16+,2,300162651,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Marcus Smart,Los Angeles Lakers,17.5,1.75,BetRight,55328652,Marcus Smart 18+,3,300162654,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Marcus Smart,Los Angeles Lakers,19.5,2.25,BetRight,55328652,Marcus Smart 20+,4,300162652,Dallas Mavericks,NA,NA,NA,NA
