match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,29.5,2.5,NA,TAB,634745,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Alperen Sengun,Houston Rockets,Dallas Mavericks,Player Points,29.5,6,NA,TAB,634746,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,34.5,4.75,NA,TAB,634752,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,39.5,8.5,NA,TAB,634757,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ronald Holland II,Detroit Pistons,Memphis Grizzlies,Player Points,4.5,1.04,NA,TAB,633961,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Duncan Robinson,Detroit Pistons,Memphis Grizzlies,Player Points,4.5,1.04,NA,TAB,633944,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaylen Wells,Memphis Grizzlies,Detroit Pistons,Player Points,4.5,1.1,NA,TAB,633941,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Isaiah Stewart,Detroit Pistons,Memphis Grizzlies,Player Points,4.5,1.11,NA,TAB,633962,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Caris LeVert,Detroit Pistons,Memphis Grizzlies,Player Points,4.5,1.12,NA,TAB,633959,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Kentavious C-Pope,NA,NA,Player Points,4.5,1.14,NA,TAB,633942,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jock Landale,Memphis Grizzlies,Detroit Pistons,Player Points,4.5,1.28,NA,TAB,633943,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Vince Williams Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,4.5,1.45,NA,TAB,633949,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cam Spencer,Memphis Grizzlies,Detroit Pistons,Player Points,4.5,1.5,NA,TAB,633946,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaren Jackson Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,1.03,NA,TAB,633442,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jalen Duren,Detroit Pistons,Memphis Grizzlies,Player Points,9.5,1.16,NA,TAB,633453,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ausar Thompson,Detroit Pistons,Memphis Grizzlies,Player Points,9.5,1.18,NA,TAB,633451,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cedric Coward,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,1.38,NA,TAB,633459,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Santi Aldama,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,1.45,NA,TAB,633457,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ronald Holland II,Detroit Pistons,Memphis Grizzlies,Player Points,9.5,1.48,NA,TAB,633466,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Duncan Robinson,Detroit Pistons,Memphis Grizzlies,Player Points,9.5,1.5,NA,TAB,633455,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Caris LeVert,Detroit Pistons,Memphis Grizzlies,Player Points,9.5,1.72,NA,TAB,633464,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaylen Wells,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,1.72,NA,TAB,633443,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Kentavious C-Pope,NA,NA,Player Points,9.5,1.85,NA,TAB,633445,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jock Landale,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,2.4,NA,TAB,633447,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Vince Williams Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,3.1,NA,TAB,633463,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cam Spencer,Memphis Grizzlies,Detroit Pistons,Player Points,9.5,3.2,NA,TAB,633460,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ja Morant,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,1.05,NA,TAB,633468,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaren Jackson Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,1.28,NA,TAB,633470,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jalen Duren,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,1.72,NA,TAB,633481,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ausar Thompson,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,1.8,NA,TAB,633478,NA
