match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jaylen Brown,Boston Celtics,Los Angeles Lakers,0.5,1.01,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Taurean Prince,Los Angeles Lakers,Boston Celtics,0.5,1.03,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jrue Holiday,Boston Celtics,Los Angeles Lakers,0.5,1.01,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Pascal Siakam,Toronto Raptors,NA,1.5,2.3,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Josh Hart,New York Knicks,Indiana Pacers,1.5,2,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Myles Turner,Indiana Pacers,New York Knicks,1.5,1.9,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Aaron Nesmith,Indiana Pacers,New York Knicks,1.5,1.32,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Tyrese Haliburton,Indiana Pacers,New York Knicks,1.5,1.3,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Jalen Brunson,New York Knicks,Indiana Pacers,1.5,1.1,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,O.G. Anunoby,NA,NA,1.5,1.25,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Donte DiVincenzo,New York Knicks,Indiana Pacers,9.5,6.5,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tyrese Maxey,Philadelphia 76ers,Utah Jazz,6.5,3.5,NA,Neds
