match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Trae Young,Atlanta Hawks,34.5,8,NA,Pointsbet,Detroit Pistons,2174461,79672251,7,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Zaccharie Risacher,Atlanta Hawks,9.5,1.4,NA,Pointsbet,Detroit Pistons,2174461,79672251,110,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Zaccharie Risacher,Atlanta Hawks,14.5,2.7,NA,Pointsbet,Detroit Pistons,2174461,79672251,111,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Zaccharie Risacher,Atlanta Hawks,19.5,6,NA,Pointsbet,Detroit Pistons,2174461,79672251,112,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Zaccharie Risacher,Atlanta Hawks,4.5,1.05,NA,Pointsbet,Detroit Pistons,2174461,79672251,109,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Alperen Sengun,Houston Rockets,9.5,1.04,NA,Pointsbet,New York Knicks,2174492,79676453,74,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Alperen Sengun,Houston Rockets,14.5,1.29,NA,Pointsbet,New York Knicks,2174492,79676453,75,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Alperen Sengun,Houston Rockets,19.5,2.2,NA,Pointsbet,New York Knicks,2174492,79676453,76,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Alperen Sengun,Houston Rockets,24.5,5,NA,Pointsbet,New York Knicks,2174492,79676453,77,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Amen Thompson,Houston Rockets,9.5,1.05,NA,Pointsbet,New York Knicks,2174492,79676453,98,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Amen Thompson,Houston Rockets,14.5,1.4,NA,Pointsbet,New York Knicks,2174492,79676453,99,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Amen Thompson,Houston Rockets,19.5,2.7,NA,Pointsbet,New York Knicks,2174492,79676453,100,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Amen Thompson,Houston Rockets,24.5,7,NA,Pointsbet,New York Knicks,2174492,79676453,101,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Cam Whitmore,Houston Rockets,9.5,1.71,NA,Pointsbet,New York Knicks,2174492,79676453,122,NA
New York Knicks v Houston Rockets,New York Knicks,Houston Rockets,Player Points,Cam Whitmore,Houston Rockets,14.5,3.7,NA,Pointsbet,New York Knicks,2174492,79676453,123,NA
