match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Tim Hardaway Jr.,Denver Nuggets,Chicago Bulls,14.5,2.02,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Bruce Brown,Denver Nuggets,Chicago Bulls,14.5,5.4,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Cameron Johnson,Denver Nuggets,Chicago Bulls,14.5,4,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Peyton Watson,Denver Nuggets,Chicago Bulls,14.5,4.1,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Jonas Valanciunas,NA,NA,14.5,5.75,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Aaron Gordon,Denver Nuggets,Chicago Bulls,14.5,1.42,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Ayo Dosunmu,Chicago Bulls,Denver Nuggets,14.5,2.02,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Isaac Okoro,Chicago Bulls,Denver Nuggets,14.5,8.25,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Jalen Smith,Chicago Bulls,Denver Nuggets,14.5,4.8,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Jamal Murray,Denver Nuggets,Chicago Bulls,14.5,1.12,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Matas Buzelis,Chicago Bulls,Denver Nuggets,14.5,1.65,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Kevin Huerter,Chicago Bulls,Denver Nuggets,14.5,2.02,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Anthony Edwards,Minnesota Timberwolves,Dallas Mavericks,19.5,1.15,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Naz Reid,Minnesota Timberwolves,Dallas Mavericks,19.5,5.25,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Max Christie,Dallas Mavericks,Minnesota Timberwolves,19.5,7,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,D'Angelo Russell,Dallas Mavericks,Minnesota Timberwolves,19.5,6.8,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Donte DiVincenzo,Minnesota Timberwolves,Dallas Mavericks,19.5,4.2,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Jaden McDaniels,Minnesota Timberwolves,Dallas Mavericks,19.5,3.35,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,P.J. Washington,Dallas Mavericks,Minnesota Timberwolves,19.5,2.75,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Julius Randle,Minnesota Timberwolves,Dallas Mavericks,19.5,1.44,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Rudy Gobert,Minnesota Timberwolves,Dallas Mavericks,19.5,7,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Brandon Williams,Dallas Mavericks,Minnesota Timberwolves,19.5,4.2,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Klay Thompson,Dallas Mavericks,Minnesota Timberwolves,19.5,8.25,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Cooper Flagg,Dallas Mavericks,Minnesota Timberwolves,19.5,2.8,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Anthony Edwards,Minnesota Timberwolves,Dallas Mavericks,34.5,3.5,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Julius Randle,Minnesota Timberwolves,Dallas Mavericks,34.5,8.75,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,AJ Green,Milwaukee Bucks,Cleveland Cavaliers,9.5,1.87,1.88,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Mikal Bridges,New York Knicks,Miami Heat,19.5,1.87,1.87,Neds
Toronto Raptors v Charlotte Hornets,Toronto Raptors,Charlotte Hornets,Player Points,Collin Sexton,Charlotte Hornets,Toronto Raptors,17.5,2.6,NA,Neds
Toronto Raptors v Charlotte Hornets,Toronto Raptors,Charlotte Hornets,Player Points,Sandro Mamukelashvili,Toronto Raptors,Charlotte Hornets,17.5,12,NA,Neds
Toronto Raptors v Charlotte Hornets,Toronto Raptors,Charlotte Hornets,Player Points,Kon Knueppel,Charlotte Hornets,Toronto Raptors,17.5,1.96,NA,Neds
