match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Andre Jackson Jr.,Milwaukee Bucks,Charlotte Hornets,0.5,1.3,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Peyton Watson,Denver Nuggets,Los Angeles Lakers,0.5,1.25,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Rui Hachimura,Los Angeles Lakers,Denver Nuggets,0.5,1.94,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Nikola Jokic,NA,NA,0.5,1.05,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,D'Angelo Russell,Los Angeles Lakers,Denver Nuggets,0.5,1.5,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Gabe Vincent,Los Angeles Lakers,Denver Nuggets,0.5,1.72,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,LeBron James,Los Angeles Lakers,Denver Nuggets,0.5,1.24,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Christian Braun,Denver Nuggets,Los Angeles Lakers,0.5,1.17,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Cam Reddish,Los Angeles Lakers,Denver Nuggets,0.5,1.35,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Dario Saric,NA,NA,0.5,1.65,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Michael Porter Jr.,Denver Nuggets,Los Angeles Lakers,0.5,1.45,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Russell Westbrook,Denver Nuggets,Los Angeles Lakers,0.5,1.11,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Julian Strawther,Denver Nuggets,Los Angeles Lakers,0.5,1.4,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Anthony Davis,Los Angeles Lakers,Denver Nuggets,0.5,1.09,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Austin Reaves,Los Angeles Lakers,Denver Nuggets,0.5,1.32,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Dalton Knecht,Los Angeles Lakers,Denver Nuggets,0.5,1.5699999999999998,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Jamal Murray,Denver Nuggets,Los Angeles Lakers,0.5,1.06,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Fred VanVleet,Houston Rockets,Portland Trail Blazers,4.5,8.5,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Tari Eason,Houston Rockets,Portland Trail Blazers,4.5,6.2,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Russell Westbrook,Denver Nuggets,Los Angeles Lakers,3.5,8.5,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Anthony Davis,Los Angeles Lakers,Denver Nuggets,3.5,7.75,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Jamal Murray,Denver Nuggets,Los Angeles Lakers,3.5,6.8,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Nikola Jokic,NA,NA,3.5,6.2,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Anthony Davis,Los Angeles Lakers,Denver Nuggets,1.5,1.78,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Julian Strawther,Denver Nuggets,Los Angeles Lakers,1.5,2.95,NA,Neds
