match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Myron Gardner,Miami Heat,7.5,2.3,BetRight,56422810,Myron Gardner 8+,2,304604537,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Myron Gardner,Miami Heat,9.5,3.6,BetRight,56422810,Myron Gardner 10+,3,304604535,Detroit Pistons,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Saddiq Bey,New Orleans Pelicans,11.5,1.11,BetRight,56389986,Saddiq Bey 12+,1,304473726,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Saddiq Bey,New Orleans Pelicans,14.5,1.3,BetRight,56389986,Saddiq Bey 15+,2,304473728,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Saddiq Bey,New Orleans Pelicans,17.5,1.68,BetRight,56389986,Saddiq Bey 18+,3,304473724,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Saddiq Bey,New Orleans Pelicans,19.5,2.1,BetRight,56389986,Saddiq Bey 20+,4,304473727,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Saddiq Bey,New Orleans Pelicans,24.5,4.6,BetRight,56389986,Saddiq Bey 25+,5,304473725,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Herb Jones,NA,4.5,1.15,BetRight,56389987,Herb Jones 5+,1,304473731,NA,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Herb Jones,NA,7.5,1.55,BetRight,56389987,Herb Jones 8+,2,304473729,NA,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Herb Jones,NA,9.5,2.05,BetRight,56389987,Herb Jones 10+,3,304473730,NA,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Herb Jones,NA,11.5,3,BetRight,56389987,Herb Jones 12+,4,304473732,NA,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Trey Murphy III,New Orleans Pelicans,14.5,1.13,BetRight,56389988,Trey Murphy III 15+,1,304473737,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Trey Murphy III,New Orleans Pelicans,17.5,1.32,BetRight,56389988,Trey Murphy III 18+,2,304473734,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Trey Murphy III,New Orleans Pelicans,19.5,1.53,BetRight,56389988,Trey Murphy III 20+,3,304473736,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Trey Murphy III,New Orleans Pelicans,24.5,2.6,BetRight,56389988,Trey Murphy III 25+,4,304473733,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Trey Murphy III,New Orleans Pelicans,29.5,5.5,BetRight,56389988,Trey Murphy III 30+,5,304473735,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Dejounte Murray,New Orleans Pelicans,9.5,1.08,BetRight,56389989,Dejounte Murray 10+,1,304473739,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Dejounte Murray,New Orleans Pelicans,11.5,1.18,BetRight,56389989,Dejounte Murray 12+,2,304473742,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Dejounte Murray,New Orleans Pelicans,14.5,1.48,BetRight,56389989,Dejounte Murray 15+,3,304473740,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Dejounte Murray,New Orleans Pelicans,17.5,2.1,BetRight,56389989,Dejounte Murray 18+,4,304473738,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Dejounte Murray,New Orleans Pelicans,19.5,2.8,BetRight,56389989,Dejounte Murray 20+,5,304473741,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Derik Queen,New Orleans Pelicans,4.5,1.11,BetRight,56389990,Derik Queen 5+,1,304473743,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Derik Queen,New Orleans Pelicans,7.5,1.42,BetRight,56389990,Derik Queen 8+,2,304473745,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Derik Queen,New Orleans Pelicans,9.5,1.86,BetRight,56389990,Derik Queen 10+,3,304473744,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Derik Queen,New Orleans Pelicans,11.5,2.63,BetRight,56389990,Derik Queen 12+,4,304473746,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Zion Williamson,New Orleans Pelicans,14.5,1.1,BetRight,56389991,Zion Williamson 15+,1,304473750,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Zion Williamson,New Orleans Pelicans,17.5,1.26,BetRight,56389991,Zion Williamson 18+,2,304473748,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Zion Williamson,New Orleans Pelicans,19.5,1.46,BetRight,56389991,Zion Williamson 20+,3,304473751,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Zion Williamson,New Orleans Pelicans,24.5,2.5,BetRight,56389991,Zion Williamson 25+,4,304473749,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Zion Williamson,New Orleans Pelicans,29.5,5.25,BetRight,56389991,Zion Williamson 30+,5,304473747,Washington Wizards,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,4.5,1.03,BetRight,56389992,Bilal Coulibaly 5+,6,304514362,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,7.5,1.17,BetRight,56389992,Bilal Coulibaly 8+,1,304473754,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,9.5,1.38,BetRight,56389992,Bilal Coulibaly 10+,2,304473752,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,11.5,1.75,BetRight,56389992,Bilal Coulibaly 12+,3,304473755,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Washington Wizards,New Orleans Pelicans,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,14.5,2.88,BetRight,56389992,Bilal Coulibaly 15+,4,304473753,New Orleans Pelicans,NA,NA,NA,NA
