match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Isaiah Hartenstein,Oklahoma City Thunder,Houston Rockets,9.5,1.73,1.92,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Jabari Smith Jr.,Houston Rockets,Oklahoma City Thunder,9.5,4.2,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Alperen Sengun,Houston Rockets,Oklahoma City Thunder,9.5,1.42,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Amen Thompson,Houston Rockets,Oklahoma City Thunder,9.5,2.15,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Chet Holmgren,Oklahoma City Thunder,Houston Rockets,9.5,2.75,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,17.5,5.5,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Desmond Bane,Memphis Grizzlies,Atlanta Hawks,3.5,1.2,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Terance Mann,Atlanta Hawks,Memphis Grizzlies,3.5,1.6800000000000002,2,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zaccharie Risacher,Atlanta Hawks,Memphis Grizzlies,3.5,1.6800000000000002,2,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Clint Capela,Atlanta Hawks,Memphis Grizzlies,3.5,1.03,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Ja Morant,Memphis Grizzlies,Atlanta Hawks,3.5,1.45,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Dyson Daniels,Atlanta Hawks,Memphis Grizzlies,3.5,1.18,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Caris LeVert,Atlanta Hawks,Memphis Grizzlies,3.5,1.7,1.98,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Jaren Jackson Jr.,Memphis Grizzlies,Atlanta Hawks,3.5,1.18,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Chet Holmgren,Oklahoma City Thunder,Houston Rockets,7.5,1.85,1.88,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Andre Drummond,Philadelphia 76ers,Portland Trail Blazers,17.5,19,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Donovan Clingan,Portland Trail Blazers,Philadelphia 76ers,17.5,23,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Alperen Sengun,Houston Rockets,Oklahoma City Thunder,13.5,2.9,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Chet Holmgren,Oklahoma City Thunder,Houston Rockets,13.5,9.25,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Amen Thompson,Houston Rockets,Oklahoma City Thunder,13.5,6.2,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Isaiah Hartenstein,Oklahoma City Thunder,Houston Rockets,13.5,4.2,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Jalen Williams,Oklahoma City Thunder,Houston Rockets,4.5,1.78,1.98,Neds
