match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Alperen Sengun,Player blocks - A. Sengün 2+ (Match),Houston Rockets,1.5,5.9,Betr,Golden State Warriors,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,NA,Player blocks - Amen Thompson 1+ (Match),NA,0.5,1.31,Betr,NA,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,NA,Player blocks - Amen Thompson 2+ (Match),NA,1.5,2.4,Betr,NA,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Tari Eason,Player blocks - Tari Eason 1+ (Match),Houston Rockets,0.5,2.3,Betr,Golden State Warriors,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Tari Eason,Player blocks - Tari Eason 2+ (Match),Houston Rockets,1.5,7.5,Betr,Golden State Warriors,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Steven Adams,Player blocks - S. Adams 1+ (Match),Houston Rockets,0.5,1.95,Betr,Golden State Warriors,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Steven Adams,Player blocks - S. Adams 2+ (Match),Houston Rockets,1.5,5.4,Betr,Golden State Warriors,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Jalen Duren,NA,Detroit Pistons,0.5,1.24,Betr,New York Knicks,3.8
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Jalen Duren,NA,Detroit Pistons,1.5,2,Betr,New York Knicks,1.74
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,OG Anunoby,NA,New York Knicks,0.5,1.45,Betr,Detroit Pistons,2.6
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,OG Anunoby,NA,New York Knicks,1.5,3,Betr,Detroit Pistons,1.34
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Karl-Anthony Towns,NA,New York Knicks,0.5,1.43,Betr,Detroit Pistons,2.7
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Karl-Anthony Towns,NA,New York Knicks,1.5,2.9,Betr,Detroit Pistons,1.38
