Pos,Opponent,games,dvp,market_name
Big,LA Clippers,29,-1.9649570412688782,Player Points
Big,New York Knicks,29,-2.1022982251394984,Player Points
Big,Cleveland Cavaliers,23,-2.1352786012898015,Player Points
Big,Miami Heat,32,-4.510696095076398,Player Points
Combo,Los Angeles Lakers,22,3.82451948165237,Player Points
Combo,Toronto Raptors,15,2.685796269727401,Player Points
Combo,Atlanta Hawks,17,2.3474056026853383,Player Points
Combo,Brooklyn Nets,18,2.290696926374607,Player Points
Combo,Chicago Bulls,15,2.0532874780222983,Player Points
Combo,Utah Jazz,13,1.9791017692406854,Player Points
Combo,Houston Rockets,21,1.869254747140257,Player Points
Combo,Charlotte Hornets,18,1.7526465730978407,Player Points
Combo,New Orleans Pelicans,23,1.7016691402199768,Player Points
Combo,Phoenix Suns,19,1.438499223423289,Player Points
Combo,Dallas Mavericks,16,1.1787573206957935,Player Points
Combo,Detroit Pistons,13,0.9822123674374108,Player Points
Combo,Indiana Pacers,17,0.5874613777939013,Player Points
Combo,Sacramento Kings,20,0.44721018522796196,Player Points
Combo,Boston Celtics,15,-0.06960545934939955,Player Points
Combo,Oklahoma City Thunder,18,-0.08991476829255696,Player Points
Combo,Philadelphia 76ers,19,-0.11056896401498406,Player Points
Combo,Miami Heat,18,-0.42552918125461403,Player Points
Combo,San Antonio Spurs,20,-0.6079158153308235,Player Points
Combo,Memphis Grizzlies,17,-0.8015793433461651,Player Points
Combo,Orlando Magic,16,-1.675643126592405,Player Points
Combo,Milwaukee Bucks,16,-1.7016691402199768,Player Points
Combo,LA Clippers,15,-1.737255007683391,Player Points
Combo,New York Knicks,17,-1.7733830265485873,Player Points
Combo,Portland Trail Blazers,14,-1.7948840592037882,Player Points
Combo,Washington Wizards,19,-1.8316115468851502,Player Points
Combo,Denver Nuggets,16,-2.0343539467313354,Player Points
Combo,Minnesota Timberwolves,23,-2.84093525631633,Player Points
Combo,Golden State Warriors,15,-3.8089998994742085,Player Points
Combo,Cleveland Cavaliers,14,-6.195859806197777,Player Points
Forward,Golden State Warriors,17,3.474842319089893,Player Points
Forward,Philadelphia 76ers,19,2.426427828393768,Player Points
Forward,Boston Celtics,22,2.2699325990465233,Player Points
Forward,Brooklyn Nets,21,1.9042657469298288,Player Points
Forward,Dallas Mavericks,17,1.7439703153988866,Player Points
Forward,Los Angeles Lakers,22,1.7025867156766887,Player Points
Forward,Washington Wizards,24,1.560118150829739,Player Points
Forward,Indiana Pacers,14,1.3044856569360022,Player Points
Forward,Sacramento Kings,19,1.2551220687992846,Player Points
Forward,Atlanta Hawks,25,0.9777278871818771,Player Points
Forward,Chicago Bulls,19,0.9208701888596682,Player Points
Forward,Charlotte Hornets,19,0.5184840210003276,Player Points
Forward,New York Knicks,22,0.2758538758538762,Player Points
Forward,LA Clippers,24,-0.06450418856930895,Player Points
Forward,Phoenix Suns,24,-0.4781449609767092,Player Points
Forward,Oklahoma City Thunder,22,-0.5498842672001274,Player Points
Forward,Minnesota Timberwolves,27,-0.6362823949955363,Player Points
Forward,Orlando Magic,20,-0.6817601272828417,Player Points
Forward,Toronto Raptors,24,-0.7429950759767072,Player Points
Forward,Utah Jazz,15,-0.8202693949934652,Player Points
Forward,Portland Trail Blazers,19,-1.0900398406374485,Player Points
Forward,Cleveland Cavaliers,22,-1.154737742244567,Player Points
Forward,Memphis Grizzlies,24,-1.2988922937246752,Player Points
Forward,New Orleans Pelicans,23,-1.4153386066477047,Player Points
Forward,Detroit Pistons,24,-1.5391032325338916,Player Points
Forward,Milwaukee Bucks,18,-1.618777009916493,Player Points
Forward,Houston Rockets,17,-1.684138510196572,Player Points
Forward,Miami Heat,20,-2.0627234536912056,Player Points
Forward,San Antonio Spurs,20,-2.4414858006322397,Player Points
Forward,Denver Nuggets,21,-2.8675466545289012,Player Points
Point,Milwaukee Bucks,9,9.545454545454543,Player Points
Point,Indiana Pacers,9,6.017373644260019,Player Points
Point,Detroit Pistons,12,4.313365852601592,Player Points
Point,Phoenix Suns,9,3.6169934581588166,Player Points
Point,Charlotte Hornets,11,3.4829986765635184,Player Points
Point,Dallas Mavericks,13,3.0057346334198014,Player Points
Point,Denver Nuggets,12,2.4749220524269617,Player Points
Point,San Antonio Spurs,11,2.4100348866400623,Player Points
Point,Golden State Warriors,12,1.3707949851585948,Player Points
Point,Oklahoma City Thunder,10,1.2213310017704115,Player Points
Point,Memphis Grizzlies,13,0.8788732394366203,Player Points
Point,Houston Rockets,12,0.8666462450706263,Player Points
Point,Cleveland Cavaliers,8,0.6563201042274445,Player Points
Point,Toronto Raptors,12,0.5153667029449203,Player Points
Point,Los Angeles Lakers,13,0.4034853975237551,Player Points
Point,Brooklyn Nets,12,0.037577123853019145,Player Points
Point,Portland Trail Blazers,11,0.011447557842692468,Player Points
Point,LA Clippers,11,-0.2583812524950524,Player Points
Point,Utah Jazz,12,-0.3471144348807673,Player Points
Point,Atlanta Hawks,13,-1.3139141825199339,Player Points
Point,New Orleans Pelicans,11,-1.395945285784073,Player Points
Point,Orlando Magic,8,-2.081731379907982,Player Points
Point,Chicago Bulls,9,-2.1336872234062287,Player Points
Point,Washington Wizards,9,-2.2585238268375907,Player Points
Point,Sacramento Kings,9,-2.619901721484096,Player Points
Point,New York Knicks,11,-2.629271846868889,Player Points
Point,Boston Celtics,12,-2.660807499024247,Player Points
Point,Minnesota Timberwolves,9,-3.1527461220693596,Player Points
Point,Philadelphia 76ers,12,-3.49819599956216,Player Points
Point,Miami Heat,11,-4.870588235294117,Player Points
Wing,Dallas Mavericks,26,3.651425363358493,Player Points
Wing,Toronto Raptors,28,2.366832558390561,Player Points
Wing,Utah Jazz,27,1.8788769392824154,Player Points
Wing,Atlanta Hawks,21,1.872926952730288,Player Points
Wing,Indiana Pacers,18,1.835215459884517,Player Points
Wing,New York Knicks,25,1.619486504279127,Player Points
Wing,Charlotte Hornets,26,1.319419524309696,Player Points
Wing,Miami Heat,23,1.2727165083144687,Player Points
Wing,Los Angeles Lakers,23,1.2692201410879882,Player Points
Wing,Golden State Warriors,27,0.9510970899406352,Player Points
Wing,Detroit Pistons,21,0.785719078552062,Player Points
Wing,Houston Rockets,26,0.7676467821342339,Player Points
Wing,Milwaukee Bucks,19,0.6112839245455302,Player Points
Wing,New Orleans Pelicans,23,0.6079322669072482,Player Points
Wing,Portland Trail Blazers,24,0.3040630994838649,Player Points
Wing,Orlando Magic,19,0.12614988598295085,Player Points
Wing,LA Clippers,26,-0.21140065701009547,Player Points
Wing,Sacramento Kings,18,-0.5671307551463256,Player Points
Wing,Philadelphia 76ers,23,-0.5719664216606661,Player Points
Wing,Cleveland Cavaliers,21,-0.8346391040598586,Player Points
Wing,Brooklyn Nets,29,-1.127091639521156,Player Points
Wing,Memphis Grizzlies,22,-1.1678130589285374,Player Points
Wing,Denver Nuggets,19,-1.1941561843910824,Player Points
Wing,Washington Wizards,25,-1.2817374917890207,Player Points
Wing,Minnesota Timberwolves,19,-1.462742072270172,Player Points
Wing,Phoenix Suns,21,-1.8296286684953955,Player Points
Wing,Oklahoma City Thunder,23,-1.9795095893236416,Player Points
Wing,Boston Celtics,22,-1.9907296383488617,Player Points
Wing,San Antonio Spurs,20,-3.9122272694224756,Player Points
Wing,Chicago Bulls,21,-4.313948771157439,Player Points
Big,Philadelphia 76ers,28,1.8235484458736329,Player Rebounds
Big,Sacramento Kings,31,1.5196846520973395,Player Rebounds
Big,LA Clippers,29,1.4250134445577567,Player Rebounds
Big,San Antonio Spurs,29,1.381150032170861,Player Rebounds
Big,Oklahoma City Thunder,28,0.768061646990827,Player Rebounds
Big,Atlanta Hawks,34,0.6319770798777169,Player Rebounds
Big,Utah Jazz,28,0.5920428627374967,Player Rebounds
Big,Memphis Grizzlies,26,0.523294691420352,Player Rebounds
Big,Boston Celtics,28,0.40863126063444266,Player Rebounds
Big,Dallas Mavericks,28,0.4039793694296385,Player Rebounds
Big,Miami Heat,32,0.3938804142740704,Player Rebounds
Big,Washington Wizards,29,0.38990111361199453,Player Rebounds
Big,Los Angeles Lakers,32,0.3789335890178176,Player Rebounds
Big,Milwaukee Bucks,28,0.2381047821381319,Player Rebounds
Big,Brooklyn Nets,28,0.18845684215813918,Player Rebounds
Big,Portland Trail Blazers,29,0.13212774624139056,Player Rebounds
Big,Chicago Bulls,30,0.09279470740311613,Player Rebounds
Big,New York Knicks,29,0.028288448221440277,Player Rebounds
Big,New Orleans Pelicans,27,-0.027540481958433283,Player Rebounds
Big,Toronto Raptors,34,-0.09051656299710586,Player Rebounds
Big,Charlotte Hornets,32,-0.15710503409592302,Player Rebounds
Big,Golden State Warriors,25,-0.17987259024857316,Player Rebounds
Big,Indiana Pacers,28,-0.21019399299536623,Player Rebounds
Big,Houston Rockets,32,-0.2706712503408206,Player Rebounds
Big,Denver Nuggets,30,-0.502527618665471,Player Rebounds
Big,Cleveland Cavaliers,23,-0.5080356725149198,Player Rebounds
Big,Detroit Pistons,26,-0.6771375110598647,Player Rebounds
Big,Phoenix Suns,27,-0.908087325051337,Player Rebounds
Big,Orlando Magic,28,-1.3014830640875976,Player Rebounds
Big,Minnesota Timberwolves,32,-1.888319781461655,Player Rebounds
Combo,Sacramento Kings,20,1.2498807089313182,Player Rebounds
Combo,Atlanta Hawks,17,1.2002292195445468,Player Rebounds
Combo,New York Knicks,17,0.9100447994857783,Player Rebounds
Combo,Dallas Mavericks,16,0.9033403095625583,Player Rebounds
Combo,San Antonio Spurs,20,0.7375365111154384,Player Rebounds
Combo,Miami Heat,18,0.6899876535951552,Player Rebounds
Combo,Houston Rockets,21,0.6633911524441762,Player Rebounds
Combo,Phoenix Suns,19,0.6184062696450838,Player Rebounds
Combo,Memphis Grizzlies,17,0.418208828320386,Player Rebounds
Combo,Utah Jazz,13,0.18611705064234396,Player Rebounds
Combo,Charlotte Hornets,18,0.15903071891920817,Player Rebounds
Combo,Toronto Raptors,15,0.13420010790116566,Player Rebounds
Combo,Detroit Pistons,13,0.12499763980568357,Player Rebounds
Combo,Orlando Magic,16,0.09292388196300871,Player Rebounds
Combo,Indiana Pacers,17,0.027214873848780297,Player Rebounds
Combo,Boston Celtics,15,-0.08930112759477327,Player Rebounds
Combo,New Orleans Pelicans,23,-0.09292388196300871,Player Rebounds
Combo,Portland Trail Blazers,14,-0.14258741966801125,Player Rebounds
Combo,Los Angeles Lakers,22,-0.3163836831874258,Player Rebounds
Combo,Chicago Bulls,15,-0.35521987495495777,Player Rebounds
Combo,Philadelphia 76ers,19,-0.4921991442359177,Player Rebounds
Combo,Milwaukee Bucks,16,-0.5230285453045749,Player Rebounds
Combo,Brooklyn Nets,18,-0.601946681275038,Player Rebounds
Combo,Denver Nuggets,16,-0.6438433488060964,Player Rebounds
Combo,Minnesota Timberwolves,23,-0.8316577540106951,Player Rebounds
Combo,Washington Wizards,19,-0.8856146537764036,Player Rebounds
Combo,Cleveland Cavaliers,14,-0.8890941340233662,Player Rebounds
Combo,Golden State Warriors,15,-0.9871783804262579,Player Rebounds
Combo,Oklahoma City Thunder,18,-1.0728927867627496,Player Rebounds
Combo,LA Clippers,15,-1.0866584166694535,Player Rebounds
Forward,Golden State Warriors,17,2.349088359046284,Player Rebounds
Forward,Philadelphia 76ers,19,2.176514448658863,Player Rebounds
Forward,Brooklyn Nets,21,1.4471319968516896,Player Rebounds
Forward,New York Knicks,22,1.4189218889654063,Player Rebounds
Forward,Atlanta Hawks,25,1.3870146719690681,Player Rebounds
Forward,Boston Celtics,22,1.3462471027723,Player Rebounds
Forward,Toronto Raptors,24,0.9292699533476236,Player Rebounds
Forward,Cleveland Cavaliers,22,0.5406233947006482,Player Rebounds
Forward,Portland Trail Blazers,19,0.4002600690183167,Player Rebounds
Forward,Memphis Grizzlies,24,0.3030446070332786,Player Rebounds
Forward,San Antonio Spurs,20,0.27675936308287286,Player Rebounds
Forward,Miami Heat,20,0.12205846515718122,Player Rebounds
Forward,Houston Rockets,17,0.048959608323132287,Player Rebounds
Forward,Oklahoma City Thunder,22,-0.03142019271051533,Player Rebounds
Forward,Sacramento Kings,19,-0.037500475090477714,Player Rebounds
Forward,Denver Nuggets,21,-0.1406583270882571,Player Rebounds
Forward,Chicago Bulls,19,-0.19400572068150712,Player Rebounds
Forward,Detroit Pistons,24,-0.2821341372450683,Player Rebounds
Forward,Dallas Mavericks,17,-0.29260156601667564,Player Rebounds
Forward,Washington Wizards,24,-0.29375764993879994,Player Rebounds
Forward,Phoenix Suns,24,-0.34041013243157714,Player Rebounds
Forward,Los Angeles Lakers,22,-0.4426173052246276,Player Rebounds
Forward,Minnesota Timberwolves,27,-0.4859333958582761,Player Rebounds
Forward,Orlando Magic,20,-0.6386365914136367,Player Rebounds
Forward,Charlotte Hornets,19,-0.6946272083321672,Player Rebounds
Forward,Utah Jazz,15,-0.747301986555428,Player Rebounds
Forward,Milwaukee Bucks,18,-1.0298823532248509,Player Rebounds
Forward,LA Clippers,24,-1.2390113103646847,Player Rebounds
Forward,Indiana Pacers,14,-1.479202360979985,Player Rebounds
Forward,New Orleans Pelicans,23,-1.6493884196317987,Player Rebounds
Point,Boston Celtics,12,1.721836930416797,Player Rebounds
Point,Indiana Pacers,9,1.3785752330593892,Player Rebounds
Point,Portland Trail Blazers,11,1.0808306087490105,Player Rebounds
Point,Brooklyn Nets,12,0.8969689484582228,Player Rebounds
Point,Chicago Bulls,9,0.7258148374946565,Player Rebounds
Point,Memphis Grizzlies,13,0.5598561805540514,Player Rebounds
Point,Sacramento Kings,9,0.509104588148166,Player Rebounds
Point,Philadelphia 76ers,12,0.44116360844372116,Player Rebounds
Point,Oklahoma City Thunder,10,0.3186222846206024,Player Rebounds
Point,Charlotte Hornets,11,0.27099860161794087,Player Rebounds
Point,Utah Jazz,12,0.1973110386139343,Player Rebounds
Point,Toronto Raptors,12,0.19426484665913435,Player Rebounds
Point,Golden State Warriors,12,0.12216051518527271,Player Rebounds
Point,San Antonio Spurs,11,0.10961733792205397,Player Rebounds
Point,Detroit Pistons,12,0.10760466151732206,Player Rebounds
Point,LA Clippers,11,0.02416436414612444,Player Rebounds
Point,Washington Wizards,9,-0.02416436414612444,Player Rebounds
Point,Atlanta Hawks,13,-0.0392817238381562,Player Rebounds
Point,Cleveland Cavaliers,8,-0.041157323405906165,Player Rebounds
Point,Orlando Magic,8,-0.1417044620995318,Player Rebounds
Point,Los Angeles Lakers,13,-0.15647059397398155,Player Rebounds
Point,Denver Nuggets,12,-0.30785006045949226,Player Rebounds
