Player,Team,Pos,MIN,Usage Rank,Usage
Keegan Murray,SAC,Forward,1239,56,16.90%
Kris Murray,POR,Forward,243,24,13.10%
Mike Muscala,WAS,Big,318,42,14.60%
Larry Nance Jr.,NOP,Big,467,17,11.70%
Andrew Nembhard,IND,Combo,617,64,22.00%
Aaron Nesmith,IND,Forward,997,40,14.50%
Georges Niang,CLE,Forward,865,51,16.10%
Zeke Nnaji,DEN,Big,277,53,15.90%
Jaylen Nowell,MEM,Point,150,13,17.30%
Jusuf Nurkic,PHX,Big,1134,83,20.20%
Jordan Nwora,IND,Forward,105,65,17.60%
Royce O'Neale,BKN,Wing,1010,38,14.20%
Chuma Okeke,ORL,Forward,297,11,11.30%
Josh Okogie,PHX,Wing,669,16,12.40%
Onyeka Okongwu,ATL,Big,1032,21,12.10%
Isaac Okoro,CLE,Forward,836,25,13.20%
Kelly Olynyk,UTA,Big,872,69,18.00%
Cedi Osman,SAS,Forward,761,48,15.20%
Kelly Oubre,PHI,Wing,795,51,16.50%
Chris Paul,GSW,Combo,882,51,18.80%
Cameron Payne,MIL,Combo,567,41,17.90%
Gary Payton II,GSW,Wing,261,27,13.10%
Mason Plumlee,LAC,Big,171,18,11.80%
Brandin Podziemski,GSW,Wing,812,59,16.90%
Jakob Poeltl,TOR,Big,954,38,14.10%
Jordan Poole,WAS,Combo,1194,86,26.00%
Craig Porter,CLE,Combo,401,68,22.90%
Jontay Porter,TOR,Big,160,74,19.00%
Michael Porter,DEN,Forward,1410,59,17.20%
Otto Porter,TOR,Forward,165,1,7.80%
Bobby Portis,MIL,Big,983,77,19.20%
Kristaps Porzingis,BOS,Big,959,86,21.40%
Dwight Powell,DAL,Big,607,7,10.30%
Norman Powell,LAC,Wing,1046,57,16.80%
Taurean Prince,LAL,Wing,1286,19,12.40%
Payton Pritchard,BOS,Point,832,5,15.00%
Olivier-Maxence Prosper,DAL,Forward,137,39,14.50%
Trevelin Queen,ORL,Wing,127,34,13.90%
Neemias Queta,BOS,Big,174,20,11.90%
Immanuel Quickley,TOR,Combo,382,78,24.50%
Immanuel Quickley,NYK,Combo,708,75,23.80%
Julius Randle,NYK,Forward,1563,96,29.70%
Duop Reath,POR,Big,561,70,18.30%
Austin Reaves,LAL,Combo,1339,67,22.20%
Cameron Reddish,LAL,Wing,800,24,12.70%
Paul Reed,PHI,Big,589,47,15.10%
Naz Reid,MIN,Big,950,82,20.00%
Nick Richards,CHA,Big,764,19,11.80%
Josh Richardson,MIA,Combo,874,28,16.10%
Duncan Robinson,MIA,Wing,1168,74,18.60%
Mitchell Robinson,NYK,Big,611,3,9.30%
Orlando Robinson,MIA,Big,206,57,16.20%
Jeremiah Robinson-Earl,NOP,Big,138,14,11.40%
David Roddy,MEM,Forward,864,52,16.40%
Derrick Rose,MEM,Point,304,55,25.10%
Terry Rozier,CHA,Combo,1064,91,29.20%
D'Angelo Russell,LAL,Point,1222,53,24.90%
Matt Ryan,NOP,Combo,278,9,12.90%
Domantas Sabonis,SAC,Big,1477,89,24.50%
Dario Saric,GSW,Big,832,80,19.60%
Marcus Sasser,DET,Point,549,37,20.20%
Dennis Schroder,TOR,Point,1376,39,21.70%
Alperen Sengun,HOU,Big,1370,94,27.90%
Collin Sexton,UTA,Combo,1043,88,28.00%
Landry Shamet,WAS,Combo,393,52,19.10%
Day'Ron Sharpe,BKN,Big,570,67,17.90%
Shaedon Sharpe,POR,Wing,1052,84,22.30%
Ben Sheppard,IND,Combo,132,6,12.40%
Pascal Siakam,TOR,Big,1366,90,25.10%
Ben Simmons,BKN,Point,190,8,15.60%
Anfernee Simons,POR,Combo,689,96,30.00%
Jericho Sims,NYK,Big,104,0,4.80%
Marcus Smart,MEM,Combo,604,74,23.80%
Dru Smith,MIA,Combo,126,12,13.50%
Ish Smith,CHA,Combo,550,26,16.00%
Jalen Smith,IND,Big,531,56,16.10%
Dennis Smith Jr.,BKN,Combo,558,59,21.40%
Jabari Smith Jr.,HOU,Big,1265,58,16.30%
Nick Smith Jr.,CHA,Combo,326,38,17.50%
Jeremy Sochan,SAS,Combo,1255,54,19.30%
Jaden Springer,PHI,Wing,157,40,14.60%
Isaiah Stewart,DET,Big,973,38,14.40%
Julian Strawther,DEN,Wing,412,68,17.90%
Max Strus,CLE,Wing,1343,66,17.70%
Jalen Suggs,ORL,Combo,1067,57,20.20%
Jae'Sean Tate,HOU,Forward,734,8,10.70%
Jayson Tatum,BOS,Forward,1469,97,30.50%
Dalen Terry,CHI,Wing,263,15,12.30%
Daniel Theis,LAC,Forward,512,41,14.50%
Cameron Thomas,BKN,Combo,953,93,29.20%
Amen Thompson,HOU,Combo,336,43,18.00%
Ausar Thompson,DET,Forward,978,53,16.40%
Klay Thompson,GSW,Wing,1189,78,21.30%
Tristan Thompson,CLE,Big,387,30,13.10%
JT Thor,CHA,Big,468,10,10.50%
Matisse Thybulle,POR,Wing,912,1,9.40%
