gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0022500006,1610612744,Golden State,Warriors,GSW,warriors,265:00,16,14,9,58,11,19,17,56,3,4,16,22
0022500006,1610612743,Denver,Nuggets,DEN,nuggets,265:00,11,19,17,56,16,14,9,58,4,3,22,16
0022500096,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17,16,18,48,21,5,21,40,5,8,19,24
0022500096,1610612764,Washington,Wizards,WAS,wizards,240:00,21,5,21,40,17,16,18,48,8,5,24,19
0022500186,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,16,12,16,50,15,4,25,48,7,4,27,25
0022500186,1610612741,Chicago,Bulls,CHI,bulls,240:00,15,4,25,48,16,12,16,50,4,7,25,27
0022500119,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,16,11,10,36,11,7,12,68,4,5,15,23
0022500119,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,11,7,12,68,16,11,10,36,5,4,23,15
0022500156,1610612751,Brooklyn,Nets,BKN,nets,240:00,16,18,6,34,14,19,17,56,4,4,24,26
0022500156,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,14,19,17,56,16,18,6,34,4,4,26,24
0022500118,1610612759,San Antonio,Spurs,SAS,spurs,240:00,20,13,9,40,22,6,14,44,3,4,17,23
0022500118,1610612761,Toronto,Raptors,TOR,raptors,240:00,22,6,14,44,20,13,9,40,4,3,23,17
0022500177,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,7,18,18,50,18,10,16,54,7,3,15,18
0022500177,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18,10,16,54,7,18,18,50,3,7,18,15
0022500097,1610612757,Portland,Trail Blazers,POR,blazers,240:00,25,10,30,66,22,17,16,30,5,3,28,22
0022500097,1610612744,Golden State,Warriors,GSW,warriors,240:00,22,17,16,30,25,10,30,66,3,5,22,28
0022500126,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,27,15,11,52,18,8,10,36,10,3,19,16
0022500126,1610612758,Sacramento,Kings,SAC,kings,240:00,18,8,10,36,27,15,11,52,3,10,16,19
0022500107,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,24,14,7,40,19,8,5,48,2,6,23,26
0022500107,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,19,8,5,48,24,14,7,40,6,2,26,23
0022500149,1610612751,Brooklyn,Nets,BKN,nets,240:00,21,21,24,60,20,11,18,68,4,6,15,25
0022500149,1610612755,Philadelphia,76ers,PHI,sixers,240:00,20,11,18,68,21,21,24,60,6,4,25,15
0022500166,1610612737,Atlanta,Hawks,ATL,hawks,240:00,21,8,23,46,24,16,16,46,6,1,24,30
0022500166,1610612753,Orlando,Magic,ORL,magic,240:00,24,16,16,46,21,8,23,46,1,6,30,24
0022500122,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,30,16,19,54,28,35,9,62,5,9,19,17
0022500122,1610612757,Portland,Trail Blazers,POR,blazers,240:00,28,35,9,62,30,16,19,54,9,5,17,19
0022500110,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,26,13,7,54,15,21,23,48,4,5,24,27
0022500110,1610612754,Indiana,Pacers,IND,pacers,240:00,15,21,23,48,26,13,7,54,5,4,27,24
0022500090,1610612753,Orlando,Magic,ORL,magic,240:00,13,19,15,52,22,13,18,58,3,5,26,21
0022500090,1610612737,Atlanta,Hawks,ATL,hawks,240:00,22,13,18,58,13,19,15,52,5,3,21,26
0022500140,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,26,12,14,50,5,10,10,38,8,6,15,26
0022500140,1610612764,Washington,Wizards,WAS,wizards,240:00,5,10,10,38,26,12,14,50,6,8,26,15
0022500176,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,18,21,29,40,26,27,18,60,9,3,19,21
0022500176,1610612745,Houston,Rockets,HOU,rockets,240:00,26,27,18,60,18,21,29,40,3,9,21,19
0022500195,1610612755,Philadelphia,76ers,PHI,sixers,240:00,20,16,19,48,19,17,16,46,6,5,22,21
0022500195,1610612765,Detroit,Pistons,DET,pistons,240:00,19,17,16,46,20,16,19,48,5,6,21,22
0022500095,1610612740,New Orleans,Pelicans,NOP,pelicans,265:00,24,16,19,60,20,26,23,64,3,13,21,27
0022500095,1610612759,San Antonio,Spurs,SAS,spurs,265:00,20,26,23,64,24,16,19,60,13,3,27,21
0022500105,1610612759,San Antonio,Spurs,SAS,spurs,240:00,18,18,25,48,21,17,10,28,6,0,23,30
0022500105,1610612751,Brooklyn,Nets,BKN,nets,240:00,21,17,10,28,18,18,25,48,0,6,30,23
0022500136,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,22,6,14,44,26,14,13,60,5,5,23,22
0022500136,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,26,14,13,60,22,6,14,44,5,5,22,23
0022500197,1610612758,Sacramento,Kings,SAC,kings,240:00,10,20,20,46,37,19,32,64,3,9,20,23
0022500197,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,37,19,32,64,10,20,20,46,9,3,23,20
0022500018,1610612752,New York,Knicks,NYK,knicks,240:00,23,21,15,30,16,7,2,36,4,7,17,25
0022500018,1610612738,Boston,Celtics,BOS,celtics,240:00,16,7,2,36,23,21,15,30,7,4,25,17
0022500148,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,25,17,18,48,21,8,10,38,5,3,22,22
0022500148,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,21,8,10,38,25,17,18,48,3,5,22,22
0022500033,1610612748,Miami,Heat,MIA,heat,240:00,24,6,20,70,9,22,18,54,7,9,21,18
0022500033,1610612766,Charlotte,Hornets,CHA,hornets,240:00,9,22,18,54,24,6,20,70,9,7,18,21
0022500106,1610612765,Detroit,Pistons,DET,pistons,240:00,13,32,21,50,13,19,14,40,5,8,24,26
0022500106,1610612738,Boston,Celtics,BOS,celtics,240:00,13,19,14,40,13,32,21,50,8,5,26,24
0022500131,1610612761,Toronto,Raptors,TOR,raptors,240:00,25,11,7,36,10,23,27,66,2,8,26,16
0022500131,1610612745,Houston,Rockets,HOU,rockets,240:00,10,23,27,66,25,11,7,36,8,2,16,26
0022500183,1610612764,Washington,Wizards,WAS,wizards,240:00,16,22,13,44,23,21,33,66,7,6,21,17
0022500183,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,23,21,33,66,16,22,13,44,6,7,17,21
0022500120,1610612762,Utah,Jazz,UTA,jazz,265:00,25,33,11,52,19,18,24,50,4,8,27,29
0022500120,1610612756,Phoenix,Suns,PHX,suns,265:00,19,18,24,50,25,33,11,52,8,4,29,27
0022500142,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,14,12,22,50,14,16,7,60,2,1,26,21
0022500142,1610612758,Sacramento,Kings,SAC,kings,240:00,14,16,7,60,14,12,22,50,1,2,21,26
0022500164,1610612746,LA,Clippers,LAC,clippers,240:00,25,18,14,48,37,7,11,58,4,3,24,15
0022500164,1610612748,Miami,Heat,MIA,heat,240:00,37,7,11,58,25,18,14,48,3,4,15,24
0022500123,1610612764,Washington,Wizards,WAS,wizards,265:00,21,20,26,56,26,18,9,50,5,11,30,21
0022500123,1610612755,Philadelphia,76ers,PHI,sixers,265:00,26,18,9,50,21,20,26,56,11,5,21,30
0022500008,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,6,12,8,56,24,15,10,56,9,4,22,24
0022500008,1610612743,Denver,Nuggets,DEN,nuggets,240:00,24,15,10,56,6,12,8,56,4,9,24,22
0022500147,1610612765,Detroit,Pistons,DET,pistons,240:00,24,17,23,72,14,12,15,26,4,3,22,25
0022500147,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,14,12,15,26,24,17,23,72,3,4,25,22
0022500026,1610612757,Portland,Trail Blazers,POR,blazers,240:00,19,9,14,50,10,12,25,44,5,7,24,21
0022500026,1610612743,Denver,Nuggets,DEN,nuggets,240:00,10,12,25,44,19,9,14,50,7,5,21,24
0022500168,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,22,14,25,46,11,17,11,48,3,6,20,23
0022500168,1610612766,Charlotte,Hornets,CHA,hornets,240:00,11,17,11,48,22,14,25,46,6,3,23,20
0022500099,1610612746,LA,Clippers,LAC,clippers,240:00,24,16,26,52,21,13,7,34,5,4,19,25
0022500099,1610612756,Phoenix,Suns,PHX,suns,240:00,21,13,7,34,24,16,26,52,4,5,25,19
0022500021,1610612755,Philadelphia,76ers,PHI,sixers,240:00,11,11,17,38,25,17,19,32,7,7,13,24
0022500021,1610612738,Boston,Celtics,BOS,celtics,240:00,25,17,19,32,11,11,17,38,7,7,24,13
0022500037,1610612743,Denver,Nuggets,DEN,nuggets,240:00,22,12,15,52,17,24,7,42,4,5,15,18
0022500037,1610612744,Golden State,Warriors,GSW,warriors,240:00,17,24,7,42,22,12,15,52,5,4,18,15
0022500137,1610612756,Phoenix,Suns,PHX,suns,240:00,14,6,12,44,37,12,18,54,4,3,20,17
0022500137,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,37,12,18,54,14,6,12,44,3,4,17,20
0022500145,1610612764,Washington,Wizards,WAS,wizards,240:00,18,14,24,52,17,11,24,62,9,10,23,16
0022500145,1610612753,Orlando,Magic,ORL,magic,240:00,17,11,24,62,18,14,24,52,10,9,16,23
0022500187,1610612748,Miami,Heat,MIA,heat,240:00,32,14,26,74,25,25,26,68,5,4,23,32
0022500187,1610612757,Portland,Trail Blazers,POR,blazers,240:00,25,25,26,68,32,14,26,74,4,5,32,23
0022500112,1610612746,LA,Clippers,LAC,clippers,240:00,16,13,10,62,30,16,29,44,8,2,27,21
0022500112,1610612757,Portland,Trail Blazers,POR,blazers,240:00,30,16,29,44,16,13,10,62,2,8,21,27
0022500141,1610612759,San Antonio,Spurs,SAS,spurs,240:00,19,16,18,40,14,14,9,42,8,2,17,20
0022500141,1610612748,Miami,Heat,MIA,heat,240:00,14,14,9,42,19,16,18,40,2,8,20,17
0022500151,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,33,13,27,34,20,8,14,60,4,3,28,21
0022500151,1610612737,Atlanta,Hawks,ATL,hawks,240:00,20,8,14,60,33,13,27,34,3,4,21,28
0022500179,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,22,28,4,44,20,11,9,38,5,1,30,36
0022500179,1610612759,San Antonio,Spurs,SAS,spurs,240:00,20,11,9,38,22,28,4,44,1,5,36,30
0022500170,1610612746,LA,Clippers,LAC,clippers,240:00,12,17,6,30,34,12,28,50,2,6,20,23
0022500170,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,34,12,28,50,12,17,6,30,6,2,23,20
0022500028,1610612753,Orlando,Magic,ORL,magic,240:00,22,19,11,44,17,16,10,44,7,8,18,27
0022500028,1610612738,Boston,Celtics,BOS,celtics,240:00,17,16,10,44,22,19,11,44,8,7,27,18
0022500038,1610612758,Sacramento,Kings,SAC,kings,240:00,9,11,11,34,23,13,13,60,3,8,20,16
0022500038,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,23,13,13,60,9,11,11,34,8,3,16,20
0022500194,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,9,14,6,32,17,12,7,56,6,3,25,17
0022500194,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,17,12,7,56,9,14,6,32,3,6,17,25
0022500139,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,27,12,12,50,25,15,17,44,2,6,22,17
0022500139,1610612744,Golden State,Warriors,GSW,warriors,240:00,25,15,17,44,27,12,12,50,6,2,17,22
0022500022,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,17,17,11,40,12,18,12,44,10,4,15,18
0022500022,1610612761,Toronto,Raptors,TOR,raptors,240:00,12,18,12,44,17,17,11,40,4,10,18,15
0022500160,1610612745,Houston,Rockets,HOU,rockets,240:00,15,18,12,62,17,6,24,56,7,6,17,25
0022500160,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17,6,24,56,15,18,12,62,6,7,25,17
0022500167,1610612741,Chicago,Bulls,CHI,bulls,240:00,23,23,31,58,14,18,18,46,9,11,19,21
0022500167,1610612755,Philadelphia,76ers,PHI,sixers,240:00,14,18,18,46,23,23,31,58,11,9,21,19
0022500192,1610612752,New York,Knicks,NYK,knicks,240:00,25,25,18,58,18,11,4,36,3,8,25,25
0022500192,1610612751,Brooklyn,Nets,BKN,nets,240:00,18,11,4,36,25,25,18,58,8,3,25,25
0022500031,1610612751,Brooklyn,Nets,BKN,nets,240:00,13,9,12,32,26,16,29,80,1,1,24,19
0022500031,1610612765,Detroit,Pistons,DET,pistons,240:00,26,16,29,80,13,9,12,32,1,1,19,24
0022500093,1610612745,Houston,Rockets,HOU,rockets,240:00,20,22,13,38,16,25,16,52,2,11,24,31
0022500093,1610612765,Detroit,Pistons,DET,pistons,240:00,16,25,16,52,20,22,13,38,11,2,31,24
0022500019,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,15,8,11,56,8,22,6,46,3,3,20,27
0022500019,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,8,22,6,46,15,8,11,56,3,3,27,20
0022500159,1610612752,New York,Knicks,NYK,knicks,240:00,21,8,16,52,11,14,8,42,4,5,16,21
0022500159,1610612764,Washington,Wizards,WAS,wizards,240:00,11,14,8,42,21,8,16,52,5,4,21,16
0022500108,1610612748,Miami,Heat,MIA,heat,240:00,20,17,31,48,11,21,10,42,1,3,16,24
0022500108,1610612752,New York,Knicks,NYK,knicks,240:00,11,21,10,42,20,17,31,48,3,1,24,16
0022500125,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,19,6,21,50,13,10,9,42,8,2,21,21
0022500125,1610612752,New York,Knicks,NYK,knicks,240:00,13,10,9,42,19,6,21,50,2,8,21,21
0022500036,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,22,18,15,60,23,8,14,42,10,3,23,22
0022500036,1610612762,Utah,Jazz,UTA,jazz,240:00,23,8,14,42,22,18,15,60,3,10,22,23
0022500121,1610612744,Golden State,Warriors,GSW,warriors,240:00,21,11,12,48,23,15,20,48,5,3,24,20
0022500121,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,23,15,20,48,21,11,12,48,3,5,20,24
0022500191,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,30,10,21,54,19,18,12,58,6,3,20,19
0022500191,1610612745,Houston,Rockets,HOU,rockets,240:00,19,18,12,58,30,10,21,54,3,6,19,20
0022500171,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,26,13,25,60,17,20,19,58,7,2,22,23
0022500171,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17,20,19,58,26,13,25,60,2,7,23,22
0022500030,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19,21,11,42,17,14,21,44,7,6,19,21
0022500030,1610612761,Toronto,Raptors,TOR,raptors,240:00,17,14,21,44,19,21,11,42,6,7,21,19
0022500094,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,22,11,19,44,23,24,26,72,4,4,19,25
0022500094,1610612748,Miami,Heat,MIA,heat,240:00,23,24,26,72,22,11,19,44,4,4,25,19
0022500169,1610612744,Golden State,Warriors,GSW,warriors,240:00,25,6,27,42,12,17,12,46,4,5,18,17
0022500169,1610612756,Phoenix,Suns,PHX,suns,240:00,12,17,12,46,25,6,27,42,5,4,17,18
0022500132,1610612741,Chicago,Bulls,CHI,bulls,240:00,12,10,12,70,22,9,27,60,2,2,20,17
0022500132,1610612758,Sacramento,Kings,SAC,kings,240:00,22,9,27,60,12,10,12,70,2,2,17,20
0022500146,1610612738,Boston,Celtics,BOS,celtics,240:00,23,21,13,44,9,15,16,34,2,11,25,14
0022500146,1610612745,Houston,Rockets,HOU,rockets,240:00,9,15,16,34,23,21,13,44,11,2,14,25
0022500117,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,10,16,8,38,19,23,14,46,0,7,19,24
0022500117,1610612738,Boston,Celtics,BOS,celtics,240:00,19,23,14,46,10,16,8,38,7,0,24,19
0022500024,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,18,13,19,46,15,10,10,46,0,3,25,16
0022500024,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,15,10,10,46,18,13,19,46,3,0,16,25
0022500114,1610612755,Philadelphia,76ers,PHI,sixers,240:00,20,22,19,58,9,21,28,62,9,7,27,22
0022500114,1610612753,Orlando,Magic,ORL,magic,240:00,9,21,28,62,20,22,19,58,7,9,22,27
0022500133,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17,8,15,56,19,20,23,42,7,7,22,29
0022500133,1610612754,Indiana,Pacers,IND,pacers,240:00,19,20,23,42,17,8,15,56,7,7,29,22
0022500185,1610612737,Atlanta,Hawks,ATL,hawks,240:00,36,11,22,62,15,17,8,46,6,5,14,11
0022500185,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,15,17,8,46,36,11,22,62,5,6,11,14
0022500092,1610612761,Toronto,Raptors,TOR,raptors,240:00,16,10,18,54,18,17,10,54,4,5,21,24
0022500092,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18,17,10,54,16,10,18,54,5,4,24,21
0022500153,1610612752,New York,Knicks,NYK,knicks,240:00,14,17,24,42,16,18,19,54,5,3,12,20
0022500153,1610612741,Chicago,Bulls,CHI,bulls,240:00,16,18,19,54,14,17,24,42,3,5,20,12
0022500165,1610612761,Toronto,Raptors,TOR,raptors,240:00,21,15,27,42,8,9,11,46,6,4,23,26
0022500165,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,8,9,11,46,21,15,27,42,4,6,26,23
0022500111,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,20,12,22,70,30,11,21,58,7,1,26,28
0022500111,1610612761,Toronto,Raptors,TOR,raptors,240:00,30,11,21,58,20,12,22,70,1,7,28,26
0022500154,1610612756,Phoenix,Suns,PHX,suns,240:00,21,12,11,38,23,24,20,64,4,5,26,21
0022500154,1610612759,San Antonio,Spurs,SAS,spurs,240:00,23,24,20,64,21,12,11,38,5,4,21,26
0022500029,1610612764,Washington,Wizards,WAS,wizards,240:00,15,13,26,50,32,30,27,58,7,6,24,17
0022500029,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,32,30,27,58,15,13,26,50,6,7,17,24
0022500188,1610612759,San Antonio,Spurs,SAS,spurs,240:00,11,20,20,62,19,17,16,54,6,2,20,19
0022500188,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,19,17,16,54,11,20,20,62,2,6,19,20
0022500020,1610612754,Indiana,Pacers,IND,pacers,240:00,13,22,8,38,19,16,28,74,3,5,16,23
0022500020,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19,16,28,74,13,22,8,38,5,3,23,16
0022500173,1610612754,Indiana,Pacers,IND,pacers,240:00,16,16,15,48,23,9,12,40,5,5,23,17
0022500173,1610612751,Brooklyn,Nets,BKN,nets,240:00,23,9,12,40,16,16,15,48,5,5,17,23
0022500182,1610612756,Phoenix,Suns,PHX,suns,240:00,26,17,12,26,19,12,10,42,2,4,23,19
0022500182,1610612746,LA,Clippers,LAC,clippers,240:00,19,12,10,42,26,17,12,26,4,2,19,23
0022500091,1610612751,Brooklyn,Nets,BKN,nets,240:00,20,19,8,44,20,10,8,48,0,5,28,18
0022500091,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,20,10,8,48,20,19,8,44,5,0,18,28
0022500193,1610612753,Orlando,Magic,ORL,magic,240:00,15,17,15,50,29,18,14,42,4,2,24,27
0022500193,1610612738,Boston,Celtics,BOS,celtics,240:00,29,18,14,42,15,17,15,50,2,4,27,24
0022500138,1610612766,Charlotte,Hornets,CHA,hornets,240:00,15,22,12,60,29,18,21,54,6,7,22,19
0022500138,1610612753,Orlando,Magic,ORL,magic,240:00,29,18,21,54,15,22,12,60,7,6,19,22
0022500157,1610612754,Indiana,Pacers,IND,pacers,240:00,13,20,11,58,18,14,23,38,4,5,24,28
0022500157,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18,14,23,38,13,20,11,58,5,4,28,24
0022500129,1610612765,Detroit,Pistons,DET,pistons,240:00,26,20,19,64,13,25,10,48,8,5,28,27
0022500129,1610612753,Orlando,Magic,ORL,magic,240:00,13,25,10,48,26,20,19,64,5,8,27,28
0022500190,1610612746,LA,Clippers,LAC,clippers,240:00,18,7,5,54,13,20,19,44,5,2,15,19
0022500190,1610612756,Phoenix,Suns,PHX,suns,240:00,13,20,19,44,18,7,5,54,2,5,19,15
0022500023,1610612741,Chicago,Bulls,CHI,bulls,240:00,25,13,9,54,12,20,7,38,6,5,22,25
0022500023,1610612752,New York,Knicks,NYK,knicks,240:00,12,20,7,38,25,13,9,54,5,6,25,22
0022500035,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,19,20,16,60,13,11,21,62,6,3,16,19
0022500035,1610612741,Chicago,Bulls,CHI,bulls,240:00,13,11,21,62,19,20,16,60,3,6,19,16
0022500161,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,8,25,13,30,33,15,18,58,5,9,22,21
0022500161,1610612765,Detroit,Pistons,DET,pistons,240:00,33,15,18,58,8,25,13,30,9,5,21,22
0022500152,1610612761,Toronto,Raptors,TOR,raptors,240:00,10,23,25,58,16,15,11,54,7,0,23,18
0022500152,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,16,15,11,54,10,23,25,58,0,7,18,23
0022500172,1610612765,Detroit,Pistons,DET,pistons,240:00,21,11,18,60,17,18,15,36,6,2,23,17
0022500172,1610612762,Utah,Jazz,UTA,jazz,240:00,17,18,15,36,21,11,18,60,2,6,17,23
0022500158,1610612738,Boston,Celtics,BOS,celtics,240:00,17,19,19,40,16,13,15,54,4,2,22,21
0022500158,1610612762,Utah,Jazz,UTA,jazz,240:00,16,13,15,54,17,19,19,40,2,4,21,22
0022500184,1610612755,Philadelphia,76ers,PHI,sixers,240:00,15,22,15,64,19,15,36,38,9,5,22,25
0022500184,1610612761,Toronto,Raptors,TOR,raptors,240:00,19,15,36,38,15,22,15,64,5,9,25,22
0022500196,1610612744,Golden State,Warriors,GSW,warriors,240:00,28,21,12,42,14,12,10,40,6,6,16,25
0022500196,1610612754,Indiana,Pacers,IND,pacers,240:00,14,12,10,40,28,21,12,42,6,6,25,16
0022500113,1610612758,Sacramento,Kings,SAC,kings,240:00,24,21,16,46,27,15,14,56,4,3,26,17
0022500113,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,27,15,14,56,24,21,16,46,3,4,17,26
0022500175,1610612752,New York,Knicks,NYK,knicks,240:00,29,31,15,62,21,14,14,40,8,2,21,14
0022500175,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,21,14,14,40,29,31,15,62,2,8,14,21
0022500115,1610612741,Chicago,Bulls,CHI,bulls,240:00,11,15,22,64,24,12,21,68,4,1,20,17
0022500115,1610612737,Atlanta,Hawks,ATL,hawks,240:00,24,12,21,68,11,15,22,64,1,4,17,20
0022500101,1610612737,Atlanta,Hawks,ATL,hawks,240:00,17,9,9,34,29,30,13,50,5,3,23,19
0022500101,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,29,30,13,50,17,9,9,34,3,5,19,23
0022500116,1610612745,Houston,Rockets,HOU,rockets,240:00,23,16,21,66,11,23,4,46,4,0,22,24
0022500116,1610612751,Brooklyn,Nets,BKN,nets,240:00,11,23,4,46,23,16,21,66,0,4,24,22
0022500181,1610612758,Sacramento,Kings,SAC,kings,240:00,30,11,17,54,11,20,20,40,5,6,18,26
0022500181,1610612744,Golden State,Warriors,GSW,warriors,240:00,11,20,20,40,30,11,17,54,6,5,26,18
0022500025,1610612756,Phoenix,Suns,PHX,suns,240:00,29,16,14,40,13,9,13,34,6,3,25,22
0022500025,1610612762,Utah,Jazz,UTA,jazz,240:00,13,9,13,34,29,16,14,40,3,6,22,25
