timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Dillon Brooks,Houston Rockets,3.5,6.5,NA,Indiana Pacers,Player Assists - Dillon Brooks (HOU),Dillon Brooks 4+,NA,NA,NA,NA,NA,0.15,NA,73,0.32,40,0.07,0.1,0.68,0.92,0.16,NA,-0.08,NA,-0.05,NA,BetRight,0.2
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player assists,Dillon Brooks,Houston Rockets,3.5,5,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,0.2,NA,73,0.32,40,0.07,0.1,0.68,0.92,0.12,NA,-0.12,NA,-0.1,NA,BlueBet,0.2
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Dillon Brooks,Houston Rockets,3.5,2.9,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,0.34,NA,73,0.32,40,0.07,0.1,0.68,0.92,-0.03,NA,-0.27,NA,-0.24,NA,Neds,0.2
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,7.5,7,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.14,NA,75,0.16,37,0.16,0.3,0.84,0.84,0.02,NA,0.02,NA,0.16,NA,Sportsbet,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,7.5,5.75,NA,Houston Rockets,NA,NA,1763344,51952711,24,NA,NA,0.17,NA,75,0.16,37,0.16,0.3,0.84,0.84,-0.01,NA,-0.01,NA,0.13,NA,Pointsbet,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,7.5,5.5,NA,Houston Rockets,Player Assists - Andrew Nembhard (IND),Andrew Nembhard 8+,NA,NA,NA,NA,NA,0.18,NA,75,0.16,37,0.16,0.3,0.84,0.84,-0.02,NA,-0.02,NA,0.12,NA,BetRight,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player assists,Andrew Nembhard,Indiana Pacers,7.5,4.6,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.22,NA,75,0.16,37,0.16,0.3,0.84,0.84,-0.06,NA,-0.06,NA,0.08,NA,BlueBet,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,7.5,4.1,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.24,NA,75,0.16,37,0.16,0.3,0.84,0.84,-0.08,NA,-0.08,NA,0.06,NA,Neds,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,7.5,4,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.25,NA,75,0.16,37,0.16,0.3,0.84,0.84,-0.09,NA,-0.09,NA,0.05,NA,TAB,0.10999999999999999
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.65,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.38,NA,75,0.29,37,0.35,0.6,0.71,0.65,-0.08,NA,-0.03,NA,0.22,NA,Sportsbet,0.09999999999999998
