timestamp,match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency,player_name,player_team,line,over_price,opposition_team,under_price,total_points_line
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Kyle Kuzma,Washington Wizards,7.5,21,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,LaMelo Ball,Charlotte Hornets,1.5,1.01,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,LaMelo Ball,Charlotte Hornets,4.5,1.03,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,LaMelo Ball,Charlotte Hornets,7.5,1.4,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,LaMelo Ball,Charlotte Hornets,9.5,2.25,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,LaMelo Ball,Charlotte Hornets,11.5,4.4,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Gordon Hayward,Charlotte Hornets,1.5,1.02,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Gordon Hayward,Charlotte Hornets,4.5,1.82,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Gordon Hayward,Charlotte Hornets,7.5,6,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Gordon Hayward,Charlotte Hornets,9.5,18,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Terry Rozier,Charlotte Hornets,1.5,1.02,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Terry Rozier,Charlotte Hornets,4.5,1.87,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Terry Rozier,Charlotte Hornets,7.5,6.5,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Terry Rozier,Charlotte Hornets,9.5,18,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,P.J. Washington,Charlotte Hornets,1.5,1.45,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,P.J. Washington,Charlotte Hornets,4.5,9,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,P.J. Washington,Charlotte Hornets,7.5,26,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Saddiq Bey,Atlanta Hawks,1.5,2.1,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Saddiq Bey,Atlanta Hawks,4.5,20,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Saddiq Bey,Atlanta Hawks,7.5,26,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Clint Capela,Atlanta Hawks,1.5,4,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Clint Capela,Atlanta Hawks,4.5,26,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Bogdan Bogdanovic,Atlanta Hawks,1.5,1.37,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Bogdan Bogdanovic,Atlanta Hawks,4.5,7.5,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Bogdan Bogdanovic,Atlanta Hawks,7.5,26,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Onyeka Okongwu,Atlanta Hawks,1.5,3.7,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Onyeka Okongwu,Atlanta Hawks,4.5,26,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Nick Richards,Charlotte Hornets,1.5,4.8,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Nick Richards,Charlotte Hornets,4.5,26,Atlanta Hawks,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,De'Andre Hunter,Atlanta Hawks,1.5,2.3,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,De'Andre Hunter,Atlanta Hawks,4.5,20,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Dejounte Murray,Atlanta Hawks,1.5,1.01,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Dejounte Murray,Atlanta Hawks,4.5,1.35,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Dejounte Murray,Atlanta Hawks,7.5,3.7,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Dejounte Murray,Atlanta Hawks,9.5,8.5,Charlotte Hornets,NA,NA
2023-10-25T23:53:36Z,Charlotte Hornets v Atlanta Hawks,NA,Player assists,Charlotte Hornets,NA,Atlanta Hawks,NA,NA,BlueBet,Trae Young,Atlanta Hawks,4.5,1.01,Charlotte Hornets,NA,NA
