timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders,prop_id,under_prop_id,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,3.25,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,75,0.35,37,0.22,0.1,0.65,0.78,0.04,NA,-0.09,NA,-0.21,NA,BetRight,0.13
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,3.2,NA,Phoenix Suns,16,19476,11625201,411828385,1842733227,NA,NA,NA,NA,0.31,NA,75,0.35,37,0.22,0.1,0.65,0.78,0.03,NA,-0.1,NA,-0.21,NA,Sportsbet,0.13
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,3,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,639360,NA,NA,0.33,NA,75,0.35,37,0.22,0.1,0.65,0.78,0.01,NA,-0.12,NA,-0.23,NA,TAB,0.13
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player assists,Kevin Huerter,Sacramento Kings,3.5,2.9,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,75,0.35,37,0.22,0.1,0.65,0.78,0,NA,-0.13,NA,-0.24,NA,BlueBet,0.13
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,2.75,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,75,0.35,37,0.22,0.1,0.65,0.78,-0.02,NA,-0.15,NA,-0.26,NA,TopSport,0.13
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,2.35,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,75,0.35,37,0.22,0.1,0.65,0.78,-0.08,NA,-0.21,NA,-0.33,NA,Neds,0.13
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,4.8,NA,Philadelphia 76ers,16,19476,11625200,411832137,1842391231,NA,NA,NA,NA,0.21,NA,68,0.25,39,0.23,0.2,0.75,0.77,0.04,NA,0.02,NA,-0.01,NA,Sportsbet,0.12000000000000002
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,4.2,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,68,0.25,39,0.23,0.2,0.75,0.77,0.01,NA,-0.01,NA,-0.04,NA,Pointsbet,0.12000000000000002
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,3.9,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,68,0.25,39,0.23,0.2,0.75,0.77,-0.01,NA,-0.03,NA,-0.06,NA,BetRight,0.12000000000000002
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,3.8,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,68,0.25,39,0.23,0.2,0.75,0.77,-0.01,NA,-0.03,NA,-0.06,NA,TopSport,0.12000000000000002
