timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,outcome_name_under,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.6,2.2,Golden State Warriors,Player Assists Over/Under 3.5 - Jordan Clarkson (UTA),Jordan Clarkson Over 3.5,Jordan Clarkson Under 3.5,NA,NA,NA,NA,NA,0.62,0.45,61,0.56,44,0.68,0.5,0.44,0.32,-0.07,-0.01,0.06,-0.14,-0.12,0.05,BetRight,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.6,NA,Golden State Warriors,Player Assists - Jordan Clarkson (UTA),Jordan Clarkson 4+,NA,NA,NA,NA,NA,NA,0.62,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.07,NA,0.06,NA,-0.12,NA,BetRight,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.59,NA,Golden State Warriors,NA,NA,NA,1770500,52554185,62,NA,NA,0.63,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.07,NA,0.05,NA,-0.13,NA,Pointsbet,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.57,2.3,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.43,61,0.56,44,0.68,0.5,0.44,0.32,-0.08,0.01,0.04,-0.12,-0.14,0.07,TopSport,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.54,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.09,NA,0.03,NA,-0.15,NA,Sportsbet,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.54,2.38,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,2024-02-16,0.65,0.42,61,0.56,44,0.68,0.5,0.44,0.32,-0.09,0.02,0.03,-0.1,-0.15,0.08,Unibet,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.52,2.4,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.42,61,0.56,44,0.68,0.5,0.44,0.32,-0.1,0.03,0.02,-0.1,-0.16,0.08,Sportsbet,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player assists,Jordan Clarkson,Utah Jazz,3.5,1.45,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.13,NA,-0.01,NA,-0.19,NA,BlueBet,0.08999999999999997
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Anfernee Simons,Portland Trail Blazers,7.5,5,NA,Minnesota Timberwolves,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,62,0.05,30,0.17,0.3,0.95,0.83,-0.15,NA,-0.03,NA,0.1,NA,Sportsbet,0.08000000000000002
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Anfernee Simons,Portland Trail Blazers,7.5,4.33,NA,Minnesota Timberwolves,Player Assists - Anfernee Simons (POR),Anfernee Simons 8+,NA,NA,NA,NA,NA,NA,0.23,NA,62,0.05,30,0.17,0.3,0.95,0.83,-0.18,NA,-0.06,NA,0.07,NA,BetRight,0.08000000000000002
